user_id,persona,date,merchant,category,amount,payment_method,is_anomaly_synthetic
1,student,2026-03-05,Uber,Transport,10.13,Cash,False
1,student,2026-03-05,Coursera,Education,24.15,Debit Card,False
1,student,2026-03-06,Water Board,Utilities,50.61,Credit Card,False
1,student,2026-03-08,McDonalds,Dining,23.43,Mobile Wallet,False
1,student,2026-03-09,McDonalds,Dining,10.97,Credit Card,False
1,student,2026-03-11,Netflix,Entertainment,1.0,Debit Card,False
1,student,2026-03-11,Carrefour,Groceries,31.0,Credit Card,False
1,student,2026-03-12,Carrefour,Groceries,54.21,Mobile Wallet,False
1,student,2026-03-14,Spotify,Entertainment,17.09,Mobile Wallet,False
1,student,2026-03-16,Local Mart,Groceries,10.6,Credit Card,False
1,student,2026-03-16,Starbucks,Dining,3.21,Mobile Wallet,False
1,student,2026-03-16,Pizza Hut,Dining,10.8,Cash,False
1,student,2026-03-16,Careem,Transport,14.59,Debit Card,False
1,student,2026-03-16,Hospital,Healthcare,23.45,Credit Card,False
1,student,2026-03-16,Walmart,Groceries,55.46,Mobile Wallet,False
1,student,2026-03-18,Udemy,Education,53.28,Cash,False
1,student,2026-03-19,Pizza Hut,Dining,29.8,Cash,False
1,student,2026-03-20,Netflix,Entertainment,6.02,Mobile Wallet,False
1,student,2026-03-20,Uber,Transport,11.71,Mobile Wallet,False
1,student,2026-03-21,Walmart,Groceries,63.47,Cash,False
1,student,2026-03-22,Shell Gas,Transport,10.24,Debit Card,False
1,student,2026-03-23,Walmart,Groceries,45.36,Credit Card,False
1,student,2026-03-25,Coursera,Education,64.3,Cash,False
1,student,2026-03-25,McDonalds,Dining,19.76,Debit Card,False
1,student,2026-03-25,McDonalds,Dining,30.74,Mobile Wallet,False
1,student,2026-03-25,Local Mart,Groceries,35.62,Mobile Wallet,False
1,student,2026-03-25,Pizza Hut,Dining,14.04,Debit Card,False
1,student,2026-03-26,Cinema,Entertainment,12.11,Cash,False
1,student,2026-03-26,Water Board,Utilities,21.62,Cash,False
1,student,2026-03-28,McDonalds,Dining,17.73,Debit Card,False
1,student,2026-03-28,Starbucks,Dining,17.65,Debit Card,False
1,student,2026-03-30,Steam,Entertainment,3.31,Mobile Wallet,False
1,student,2026-03-30,Cinema,Entertainment,20.87,Debit Card,False
1,student,2026-03-31,Local Mart,Groceries,72.86,Credit Card,False
1,student,2026-04-01,Careem,Transport,17.19,Credit Card,False
1,student,2026-04-01,Cinema,Entertainment,2.77,Mobile Wallet,False
1,student,2026-04-02,Pizza Hut,Dining,14.43,Credit Card,False
1,student,2026-04-03,Starbucks,Dining,23.56,Cash,False
1,student,2026-04-03,Coursera,Education,36.5,Mobile Wallet,False
1,student,2026-04-04,Tuition Center,Education,49.55,Mobile Wallet,False
1,student,2026-04-05,Carrefour,Groceries,297.4,Debit Card,True
1,student,2026-04-05,Local Mart,Groceries,52.71,Mobile Wallet,False
1,student,2026-04-08,Local Cafe,Dining,8.25,Cash,False
1,student,2026-04-08,Spotify,Entertainment,22.87,Debit Card,False
1,student,2026-04-09,Local Cafe,Dining,9.1,Credit Card,False
1,student,2026-04-09,McDonalds,Dining,9.84,Credit Card,False
1,student,2026-04-09,Spotify,Entertainment,15.13,Debit Card,False
1,student,2026-04-10,Steam,Entertainment,29.54,Credit Card,False
1,student,2026-04-12,Tuition Center,Education,26.9,Mobile Wallet,False
1,student,2026-04-13,Local Cafe,Dining,25.4,Cash,False
1,student,2026-04-13,McDonalds,Dining,20.14,Credit Card,False
1,student,2026-04-14,Cinema,Entertainment,2.54,Cash,False
1,student,2026-04-14,Walmart,Groceries,55.86,Cash,False
1,student,2026-04-15,Local Cafe,Dining,18.51,Debit Card,False
1,student,2026-04-15,IKEA,Shopping,75.6,Credit Card,False
1,student,2026-04-16,Pizza Hut,Dining,56.53,Debit Card,False
1,student,2026-04-16,Uber,Transport,11.68,Cash,False
1,student,2026-04-16,Starbucks,Dining,12.65,Debit Card,False
1,student,2026-04-16,Local Mart,Groceries,26.6,Debit Card,False
1,student,2026-04-17,Netflix,Entertainment,11.65,Cash,False
1,student,2026-04-19,Steam,Entertainment,1.0,Credit Card,False
1,student,2026-04-21,Walmart,Groceries,42.8,Cash,False
1,student,2026-04-22,Local Mart,Groceries,32.88,Debit Card,False
1,student,2026-04-22,Netflix,Entertainment,8.47,Debit Card,False
1,student,2026-04-24,McDonalds,Dining,10.69,Credit Card,False
1,student,2026-04-24,Fresh Foods,Groceries,20.8,Credit Card,False
1,student,2026-04-24,Carrefour,Groceries,36.44,Debit Card,False
1,student,2026-04-25,Fresh Foods,Groceries,68.08,Debit Card,False
1,student,2026-04-26,Cinema,Entertainment,13.72,Mobile Wallet,False
1,student,2026-04-27,Carrefour,Groceries,33.02,Debit Card,False
1,student,2026-04-27,Cinema,Entertainment,15.7,Mobile Wallet,False
1,student,2026-04-28,Cinema,Entertainment,11.15,Mobile Wallet,False
1,student,2026-04-29,Gas Company,Utilities,50.27,Credit Card,False
1,student,2026-04-29,Daraz,Shopping,63.3,Debit Card,False
1,student,2026-04-30,Walmart,Groceries,54.28,Cash,False
1,student,2026-05-01,Walmart,Groceries,61.79,Debit Card,False
1,student,2026-05-01,Daraz,Shopping,54.16,Credit Card,False
1,student,2026-05-02,Udemy,Education,32.93,Credit Card,False
1,student,2026-05-03,Carrefour,Groceries,40.18,Credit Card,False
1,student,2026-05-03,McDonalds,Dining,27.31,Cash,False
1,student,2026-05-04,Udemy,Education,23.22,Debit Card,False
1,student,2026-05-05,Pizza Hut,Dining,11.87,Mobile Wallet,False
1,student,2026-05-05,Spotify,Entertainment,22.71,Debit Card,False
1,student,2026-05-05,Fresh Foods,Groceries,50.01,Debit Card,False
1,student,2026-05-07,Tuition Center,Education,9.36,Mobile Wallet,False
1,student,2026-05-08,Carrefour,Groceries,35.18,Credit Card,False
1,student,2026-05-08,Walmart,Groceries,48.39,Mobile Wallet,False
1,student,2026-05-10,Zara,Shopping,89.9,Mobile Wallet,False
1,student,2026-05-10,Dental Care,Healthcare,15.07,Mobile Wallet,False
1,student,2026-05-11,Udemy,Education,64.0,Credit Card,False
1,student,2026-05-11,Uber,Transport,11.85,Mobile Wallet,False
1,student,2026-05-14,Internet ISP,Utilities,54.23,Credit Card,False
1,student,2026-05-14,Starbucks,Dining,14.57,Debit Card,False
1,student,2026-05-16,Coursera,Education,41.44,Mobile Wallet,False
1,student,2026-05-17,Careem,Transport,12.2,Mobile Wallet,False
1,student,2026-05-18,Careem,Transport,15.98,Cash,False
1,student,2026-05-18,Fresh Foods,Groceries,38.34,Debit Card,False
1,student,2026-05-21,Uber,Transport,19.81,Mobile Wallet,False
1,student,2026-05-22,Amazon,Shopping,19.06,Credit Card,False
1,student,2026-05-22,Amazon,Shopping,74.68,Credit Card,False
1,student,2026-05-22,Spotify,Entertainment,1.8,Debit Card,False
1,student,2026-05-22,Tuition Center,Education,75.79,Mobile Wallet,False
1,student,2026-05-24,Metro Card,Transport,14.73,Debit Card,False
1,student,2026-05-24,IKEA,Shopping,51.54,Credit Card,False
1,student,2026-05-24,Starbucks,Dining,16.91,Mobile Wallet,False
1,student,2026-05-25,McDonalds,Dining,17.45,Mobile Wallet,False
1,student,2026-05-25,Local Mart,Groceries,41.8,Mobile Wallet,False
1,student,2026-05-25,Cinema,Entertainment,20.14,Mobile Wallet,False
1,student,2026-05-25,Local Cafe,Dining,21.32,Debit Card,False
1,student,2026-05-25,Daraz,Shopping,25.06,Cash,False
1,student,2026-05-25,Coursera,Education,81.52,Credit Card,False
1,student,2026-05-26,Walmart,Groceries,66.33,Cash,False
1,student,2026-05-27,Walmart,Groceries,14.04,Credit Card,False
1,student,2026-05-27,Tuition Center,Education,66.11,Debit Card,False
1,student,2026-05-28,Netflix,Entertainment,1.0,Credit Card,False
1,student,2026-05-28,Clinic,Healthcare,33.33,Credit Card,False
1,student,2026-05-29,McDonalds,Dining,21.67,Debit Card,False
1,student,2026-05-30,Steam,Entertainment,5.6,Credit Card,False
1,student,2026-05-30,Carrefour,Groceries,27.77,Credit Card,False
1,student,2026-06-01,McDonalds,Dining,12.41,Mobile Wallet,False
1,student,2026-06-02,Zara,Shopping,27.01,Cash,False
1,student,2026-06-03,Starbucks,Dining,20.14,Cash,False
1,student,2026-06-04,Starbucks,Dining,15.25,Cash,False
1,student,2026-06-05,Steam,Entertainment,1.0,Debit Card,False
1,student,2026-06-07,Local Mart,Groceries,62.86,Mobile Wallet,False
